"Localization Key","English","Polish"
"PF2E.CreateActionTitle","Create Action","Utwórz Akcję"
"PF2E.CreateAttackTitle","Create Attack","Utwórz Atak"
"PF2E.CreateFeatTitle","Create Feat","Utwórz Atut"
"PF2E.CreateFormulaTitle","Create Formula","Utwórz Recepturę"
"PF2E.CreateItemTitle","Create Item","Utwórz Przedmiot"
"PF2E.CreateLabelUniversal","Create","Utwórz"
"PF2E.CreateSkillTitle","Create Skill","Utwórz Umiejętność"
"PF2E.CreateSpellTitle","Create Spell","Utwórz Zaklęcie"
"PF2E.CritFailure","<strong>Critical Failure</strong>","<strong>Krytyczna Porażka</strong>"
"PF2E.CritSuccess","<strong>Critical Success</strong>","<strong>Krytyczny Sukces</strong>"
"PF2E.CriticalDamageLabel","Critical","Krytyczne"
"PF2E.CriticalFumbleCardButtonTitle","Draw a Critical Fumble Card","Wyciągnij Kartę Krytycznej Porażki"
"PF2E.CriticalHitCardButtonTitle","Draw a Critical Hit Card","Wyciągnij Kartę Trafienia Krytycznego"
"PF2E.CurrencyAbbreviations.cp","cp","sm"
"PF2E.CurrencyAbbreviations.gp","gp","sz"
"PF2E.CurrencyAbbreviations.pp","pp","sp"
"PF2E.CurrencyAbbreviations.sp","sp","ss"
"PF2E.CurrencyCP","Copper","Miedź"
"PF2E.CurrencyGP","Gold","Złoto"
"PF2E.CurrencyPP","Platinum","Platyna"
"PF2E.CurrencySP","Silver","Srebro"
"PF2E.CurrentHitPointsShortLabel","Current HP","Obecne PŻ"
"PF2E.CurrentStaminaPointsShortLabel","Current SP","Obecne PW"
"PF2E.DCAdjustmentEasy","easy","łatwy"
"PF2E.DCAdjustmentHard","hard","trudny"
"PF2E.DCAdjustmentIncrediblyEasy","incredibly easy","niezmiernie łatwy"
"PF2E.DCAdjustmentIncrediblyHard","incredibly hard","niezmiernie trudny"
"PF2E.DCAdjustmentNormal","baseline","podstawowy"
"PF2E.DCAdjustmentVeryEasy","very easy","bardzo łatwy"
"PF2E.DCAdjustmentVeryHard","very hard","bardzo trudny"
"PF2E.DCBase","Base DC 10","Podstawowy ST 10"
"PF2E.DCWithValue","DC {dc} {text}","{text} ST {dc}"
"PF2E.DCWithValueAndVisibility","<span data-visibility=""{role}"">DC {dc}</span> {text}","{text} <span data-visibility=""{role}"">ST {dc}</span>"
"PF2E.Damage.Base","Base","Podstawowe"
"PF2E.Damage.IWR.ActorIsImmune","{actor} is immune to {effect}.","{actor} jest niewrażliwy na {effect}."
"PF2E.Damage.IWR.ActorIsUnaffected","{actor} is unaffected by {effect}.","{effect} nie ma wpływu na {actor}."
"PF2E.Damage.IWR.ApplicationBreakdown.ignored","Resistance to {type} ignored!","Odporność na {type} zignorowana!"
"PF2E.Damage.IWR.ApplicationBreakdown.immunity","Immune to {type}: {adjustment}","Niewrażliwość na {type}: {adjustment}"
"PF2E.Damage.IWR.ApplicationBreakdown.resistance","Resistant to {type}: {adjustment}","Odporność na {type}: {adjustment}"
"PF2E.Damage.IWR.ApplicationBreakdown.unaffected","Unaffected by {type}: {adjustment}","Niewzruszony wobec {type}: {adjustment}"
"PF2E.Damage.IWR.ApplicationBreakdown.weakness","Weak to {type}: {adjustment}","Słabość na {type}: {adjustment}"
"PF2E.Damage.IWR.ApplicationBreakdown.reduction","Reduced by {type}: {adjustment}","Redukowane przez {type}: {adjustment}"
"PF2E.Damage.IWR.CompositeLabel.Exceptions0DoubleVs0","{type} {value}","{type} {value}"
"PF2E.Damage.IWR.CompositeLabel.Exceptions0DoubleVs1","{type} {value} (double resistance vs. {doubleVs1})","{type} {value} (podwójna odporność przeciw {doubleVs1}))"
"PF2E.Damage.IWR.CompositeLabel.Exceptions0DoubleVs2","{type} {value} (double resistance vs. {doubleVs1} or {doubleVs2})","{type} {value} (podwójna odporność przeciw {doubleVs1} oraz {doubleVs2})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions0DoubleVs3","{type} {value} (double resistance vs. {doubleVs1}, {doubleVs2}, or {doubleVs3})","{type} {value} (podwójna odporność przeciw {doubleVs1}, {doubleVs2} oraz {doubleVs3})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions0DoubleVs4","{type} {value} (double resistance vs. {doubleVs1}, {doubleVs2}, {doubleVs3}, or {doubleVs4})","{type} {value} (podwójna odporność przeciw {doubleVs1}, {doubleVs2}, {doubleVs3} oraz {doubleVs4})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions1DoubleVs0","{type} {value} (except {exception1})","{type} {value} (za wyjątkiem {exception1})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions1DoubleVs1","{type} {value} (except {exception1}; double resistance vs. {doubleVs1})","{type} {value} (za wyjątkiem {exception1}; podwójna odporność przeciw {doubleVs1})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions1DoubleVs2","{type} {value} (except {exception1}; double resistance vs. {doubleVs1} or {doubleVs2})","{type} {value} (za wyjątkiem {exception1}; podwójna odporność przeciw {doubleVs1} oraz {doubleVs2})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions1DoubleVs3","{type} {value} (except {exception1}; double resistance vs. {doubleVs1}, {doubleVs2}, or {doubleVs3})","{type} {value} (za wyjątkiem {exception1}; podwójna odporność przeciw {doubleVs1}, {doubleVs2} oraz {doubleVs3})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions1DoubleVs4","{type} {value} (except {exception1}; double resistance vs. {doubleVs1}, {doubleVs2}, {doubleVs3}, or {doubleVs4})","{type} {value} (za wyjątkiem {exception1}; podwójna odporność przeciw {doubleVs1}, {doubleVs2}, {doubleVs3} oraz {doubleVs4})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions2DoubleVs0","{type} {value} (except {exception1} or {exception2})","{type} {value} (za wyjątkiem {exception1} oraz {exception2})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions2DoubleVs1","{type} {value} (except {exception1} or {exception2}; double resistance vs. {doubleVs1})","{type} {value} (za wyjątkiem {exception1} oraz {exception2}; podwójna odporność przeciw {doubleVs1})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions2DoubleVs2","{type} {value} (except {exception1} or {exception2}; double resistance vs. {doubleVs1} or {doubleVs2})","{type} {value} (za wyjątkiem {exception1} oraz {exception2}; podwójna odporność przeciw {doubleVs1} oraz {doubleVs2})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions2DoubleVs3","{type} {value} (except {exception1} or {exception2}; double resistance vs. {doubleVs1}, {doubleVs2}, or {doubleVs3})","{type} {value} (za wyjątkiem {exception1} oraz {exception2}; podwójna odporność przeciw {doubleVs1}, {doubleVs2} oraz {doubleVs3})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions2DoubleVs4","{type} {value} (except {exception1} or {exception2}; double resistance vs. {doubleVs1}, {doubleVs2}, {doubleVs3}, or {doubleVs4})","{type} {value} (za wyjątkiem {exception1} oraz {exception2}; podwójna odporność przeciw {doubleVs1}, {doubleVs2}, {doubleVs3} oraz {doubleVs4})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions3DoubleVs0","{type} {value} (except {exception1}, {exception2}, or {exception3})","{type} {value} (za wyjątkiem {exception1}, {exception2} oraz {exception3})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions3DoubleVs1","{type} {value} (except {exception1}, {exception2}, or {exception3}; double resistance vs. {doubleVs1})","{type} {value} (za wyjątkiem {exception1}, {exception2} oraz {exception3}; podwójna odporność przeciw {doubleVs1})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions3DoubleVs2","{type} {value} (except {exception1}, {exception2}, or {exception3}; double resistance vs. {doubleVs1} or {doubleVs2})","{type} {value} (za wyjątkiem {exception1}, {exception2} oraz {exception3}; podwójna odporność przeciw {doubleVs1} oraz {doubleVs2})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions3DoubleVs3","{type} {value} (except {exception1}, {exception2}, or {exception3}; double resistance vs. {doubleVs1}, {doubleVs2}, or {doubleVs3})","{type} {value} (za wyjątkiem {exception1}, {exception2} oraz {exception3}; podwójna odporność przeciw {doubleVs1}, {doubleVs2} oraz {doubleVs3})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions3DoubleVs4","{type} {value} (except {exception1}, {exception2}, or {exception3}; double resistance vs. {doubleVs1}, {doubleVs2}, {doubleVs3}, or {doubleVs4})","{type} {value} (za wyjątkiem {exception1}, {exception2} oraz {exception3}; podwójna odporność przeciw {doubleVs1}, {doubleVs2}, {doubleVs3} oraz {doubleVs4})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions4DoubleVs0","{type} {value} (except {exception1}, {exception2}, {exception3}, or {exception4})","{type} {value} (za wyjątkiem {exception1}, {exception2}, {exception3} oraz {exception4})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions4DoubleVs1","{type} {value} (except {exception1}, {exception2}, {exception3}, or {exception4}; double resistance vs. {doubleVs1})","{type} {value} (za wyjątkiem {exception1}, {exception2}, {exception3} oraz {exception4}; podwójna odporność przeciw {doubleVs1})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions4DoubleVs2","{type} {value} (except {exception1}, {exception2}, {exception3}, or {exception4}; double resistance vs. {doubleVs1} or {doubleVs2})","{type} {value} (za wyjątkiem {exception1}, {exception2}, {exception3} oraz {exception4}; podwójna odporność przeciw {doubleVs1} oraz {doubleVs2})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions4DoubleVs3","{type} {value} (except {exception1}, {exception2}, {exception3}, or {exception4}; double resistance vs. {doubleVs1}, {doubleVs2}, or {doubleVs3})","{type} {value} (za wyjątkiem {exception1}, {exception2}, {exception3} oraz {exception4}; podwójna odporność przeciw {doubleVs1}, {doubleVs2} oraz {doubleVs3})"
"PF2E.Damage.IWR.CompositeLabel.Exceptions4DoubleVs4","{type} {value} (except {exception1}, {exception2}, {exception3}, or {exception4}; double resistance vs. {doubleVs1}, {doubleVs2}, {doubleVs3}, or {doubleVs4})","{type} {value} (za wyjątkiem {exception1}, {exception2}, {exception3} oraz {exception4}; podwójna odporność przeciw {doubleVs1}, {doubleVs2}, {doubleVs3} oraz {doubleVs4})"
"PF2E.Damage.IWR.Type.abjuration","abjuration","odpychanie"
"PF2E.Damage.IWR.Type.abysium","abysium","otchłanium"
"PF2E.Damage.IWR.Type.adamantine","adamantine","adamantyt"
"PF2E.Damage.IWR.Type.all-damage","all damage","wszystkie obrażenia"
"PF2E.Damage.IWR.Type.area-damage","area damage","obrażenia obszarowe"
"PF2E.Damage.IWR.Type.arrow-vulnerability","arrow vulnerability","wrażliwość na strzały"
"PF2E.Damage.IWR.Type.auditory","auditory","słuchowość"
"PF2E.Damage.IWR.Type.axe-vulnerability","axe vulnerability","wrażliwość na topory"
"PF2E.Damage.IWR.Type.blinded","blinded","oślepiony"
"PF2E.Damage.IWR.Type.broken","broken","uszkodzony"
"PF2E.Damage.IWR.Type.clumsy","clumsy","niezdarny"
"PF2E.Damage.IWR.Type.cold-iron","cold iron","zimne żelazo"
"PF2E.Damage.IWR.Type.confused","confused","zdezorientowany"
"PF2E.Damage.IWR.Type.conjuration","conjuration","przywołanie"
"PF2E.Damage.IWR.Type.controlled","controlled","kontrolowany"
"PF2E.Damage.IWR.Type.critical-hits","critical hits","trafienia krytyczne"
"PF2E.Damage.IWR.Type.curse","curse","klątwa"
"PF2E.Damage.IWR.Type.damage-from-spells","damage from spells","obrażenia od zaklęć"
"PF2E.Damage.IWR.Type.darkwood","darkwood","mrokodrzew"
"PF2E.Damage.IWR.Type.dazzled","dazzled","zamroczony"
"PF2E.Damage.IWR.Type.deafened","deafened","ogłuchły"
"PF2E.Damage.IWR.Type.death-effects","death effects","efekty śmierci"
"PF2E.Damage.IWR.Type.disease","disease","choroba"
"PF2E.Damage.IWR.Type.divination","divination","wieszczenie"
"PF2E.Damage.IWR.Type.djezet","djezet","dżezet"
"PF2E.Damage.IWR.Type.doomed","doomed","zgubiony"
"PF2E.Damage.IWR.Type.drained","drained","wyniszczony"
"PF2E.Damage.IWR.Type.emotion","emotion","emocje"
"PF2E.Damage.IWR.Type.enchantment","enchantment","uroki"
"PF2E.Damage.IWR.Type.energy","energy","energia"
"PF2E.Damage.IWR.Type.enfeebled","enfeebled","osłabiony"
"PF2E.Damage.IWR.Type.evocation","evocation","wywołanie"
"PF2E.Damage.IWR.Type.fascinated","fascinated","zafascynowany"
"PF2E.Damage.IWR.Type.fatigued","fatigued","wyczerpany"
"PF2E.Damage.IWR.Type.fear-effects","fear effects","efekty strachu"
"PF2E.Damage.IWR.Type.fleeing","fleeing","uciekający"
"PF2E.Damage.IWR.Type.frightened","frightened","przerażony"
"PF2E.Damage.IWR.Type.ghost-touch","ghost touch","duchowy dotyk"
"PF2E.Damage.IWR.Type.glass","glass","szkło"
"PF2E.Damage.IWR.Type.grabbed","grabbed","pochwycony"
"PF2E.Damage.IWR.Type.healing","healing","leczenie"
"PF2E.Damage.IWR.Type.hidden","hidden","schowany"
"PF2E.Damage.IWR.Type.illusion","illusion","iluzja"
"PF2E.Damage.IWR.Type.immobilized","immobilized","unieruchomiony"
"PF2E.Damage.IWR.Type.inhaled","inhaled","wdychanie"
"PF2E.Damage.IWR.Type.inubrix","inubrix","inubrix"
"PF2E.Damage.IWR.Type.light","light","światło"
"PF2E.Damage.IWR.Type.magic","magic","magia"
"PF2E.Damage.IWR.Type.magical","magical","magiczność"
"PF2E.Damage.IWR.Type.metal","metal","metal"
"PF2E.Damage.IWR.Type.misfortune-effects","misfortune effects","efekty nieszczęścia"
"PF2E.Damage.IWR.Type.mithral","mithral","mithral"
"PF2E.Damage.IWR.Type.necromancy","necromancy","nekromancja"
"PF2E.Damage.IWR.Type.non-magical","non-magical","niemagiczność"
"PF2E.Damage.IWR.Type.nonlethal","nonlethal","niezabójczość"
"PF2E.Damage.IWR.Type.nonlethal-attacks","nonlethal attacks","ataki niezabójcze"
"PF2E.Damage.IWR.Type.noqual","noqual","noqual"
"PF2E.Damage.IWR.Type.object-immunities","object immunities","niewrażliwości obiektów"
"PF2E.Damage.IWR.Type.off-guard","off-guard","opuszczona garda"
"PF2E.Damage.IWR.Type.olfactory","olfactory","węchowość"
"PF2E.Damage.IWR.Type.orichalcum","orichalcum","orichalcum"
"PF2E.Damage.IWR.Type.paralyzed","paralyzed","sparaliżowany"
"PF2E.Damage.IWR.Type.persistent-damage","persistent damage","obrażenia trwałe"
"PF2E.Damage.IWR.Type.petrified","petrified","spetryfikowany"
"PF2E.Damage.IWR.Type.physical","physical","fizyczne"
"PF2E.Damage.IWR.Type.plant","plant","roślina"
"PF2E.Damage.IWR.Type.polymorph","polymorph","polimorfia"
"PF2E.Damage.IWR.Type.possession","possession","opętanie"
"PF2E.Damage.IWR.Type.prone","prone","powalenie"
"PF2E.Damage.IWR.Type.protean-anatomy","protean anatomy","proteańska anatomia"
"PF2E.Damage.IWR.Type.radiation","radiation","radiacja"
"PF2E.Damage.IWR.Type.restrained","restrained","spętany"
"PF2E.Damage.IWR.Type.salt","salt","sól"
"PF2E.Damage.IWR.Type.salt-water","salt water","słona woda"
"PF2E.Damage.IWR.Type.scrying","scrying","wróżbiarstwo"
"PF2E.Damage.IWR.Type.siccatite","siccatite","sikkatyt"
"PF2E.Damage.IWR.Type.sickened","sickened","zemdlony"
"PF2E.Damage.IWR.Type.silver","silver","srebro"
"PF2E.Damage.IWR.Type.sleep","sleep","sen"
"PF2E.Damage.IWR.Type.slowed","slowed","spowolniony"
"PF2E.Damage.IWR.Type.spell-deflection","spell deflection","odbijanie zaklęć"
"PF2E.Damage.IWR.Type.spells","spells","zaklęcia"
"PF2E.Damage.IWR.Type.splash-damage","splash damage","obrażenia rozpryskowe"
"PF2E.Damage.IWR.Type.stunned","stunned","ogłuszony"
"PF2E.Damage.IWR.Type.stupefied","stupefied","ogłupiony"
"PF2E.Damage.IWR.Type.swarm-attacks","swarm attacks","ataki roju"
"PF2E.Damage.IWR.Type.swarm-mind","swarm mind","umysł roju"
"PF2E.Damage.IWR.Type.transmutation","transmutation","transmutacja"
"PF2E.Damage.IWR.Type.trip","trip","podcinanie"
"PF2E.Damage.IWR.Type.unarmed-attacks","unarmed attacks","ataki wręcz"
"PF2E.Damage.IWR.Type.unconscious","unconscious","nieprzytomny"
"PF2E.Damage.IWR.Type.vampire-weaknesses","vampire weaknesses","słabość wampirów"
"PF2E.Damage.IWR.Type.visual","visual","wizualność"
"PF2E.Damage.IWR.Type.vorpal","vorpal","worpalność"
"PF2E.Damage.IWR.Type.vorpal-adamantine","vorpal adamantine","worpalny adamantyt"
"PF2E.Damage.IWR.Type.vorpal-fear","vorpal fear","worpalny strach"
"PF2E.Damage.IWR.Type.vulnerable-to-sunlight","vulnerable to sunlight","wrażliwość na światło słoneczne"
"PF2E.Damage.IWR.Type.water","water","woda"
"PF2E.Damage.IWR.Type.weapons","weapons","bronie"
"PF2E.Damage.IWR.Type.weapons-shedding-bright-light","weapons shedding bright light","bronie roztaczające jasne światło"
"PF2E.Damage.IWR.Type.wood","wood","drewno"
"PF2E.Damage.IWR.Type.wounded","wounded","rany"
"PF2E.Damage.Hardness.Full","hardness","twardość"
"PF2E.Damage.Hardness.Half","half hardness","połowa twardości"
"PF2E.Damage.IncreasedFrom","Increased from {original} to minimum of 1","Zwiększono z {original} do minimum 1"
"PF2E.Damage.Kind.Both.Roll.Noun","Damage/Healing Roll","Rzut Obrażeń/Leczenia"
"PF2E.Damage.Kind.Both.Roll.Verb","Roll Damage/Healing","Rzuć Obrażenia/Leczenie"
"PF2E.Damage.Kind.Damage.Roll.Noun","Damage Roll","Rzut Obrażeń"
"PF2E.Damage.Kind.Damage.Roll.Verb","Roll Damage","Rzuć Obrażenia"
"PF2E.Damage.Kind.Healing.Apply.Label","Apply Healing","Zastosuj Leczenie"
"PF2E.Damage.Kind.Healing.Roll.Noun","Healing Roll","Rzut Leczenia"
"PF2E.Damage.Kind.Healing.Roll.Verb","Roll Healing","Rzuć Leczenie"
"PF2E.Damage.NoDamageFormulaLabel","No damage","Brak Obrażeń"
"PF2E.Damage.PersistentTooltip","Persistent {damageType}","Trwałe {damageType}"
"PF2E.Damage.Precision","Precision","Precyzyjne"
"PF2E.Damage.RollFlavor.acid","acid","od kwasu"
"PF2E.Damage.RollFlavor.air","air","od powietrza"
"PF2E.Damage.RollFlavor.bleed","bleed","od krwawienia"
"PF2E.Damage.RollFlavor.bludgeoning","bludgeoning","obuchowe"
"PF2E.Damage.RollFlavor.chaotic","chaotic","od chaosu"
"PF2E.Damage.RollFlavor.cold","cold","od zimna"
"PF2E.Damage.RollFlavor.earth","earth","od ziemi"
"PF2E.Damage.RollFlavor.electricity","electricity","od elektryczności"
"PF2E.Damage.RollFlavor.evil","evil","od zła"
"PF2E.Damage.RollFlavor.fire","fire","od ognia"
"PF2E.Damage.RollFlavor.force","force","od mocy"
"PF2E.Damage.RollFlavor.good","good","od dobra"
"PF2E.Damage.RollFlavor.lawful","lawful","od praworządności"
"PF2E.Damage.RollFlavor.mental","mental","mentalne"
"PF2E.Damage.RollFlavor.metal","metal","metal"
"PF2E.Damage.RollFlavor.persistent","persistent {damageType}","trwałe {damageType}"
"PF2E.Damage.RollFlavor.piercing","piercing","kłute"
"PF2E.Damage.RollFlavor.poison","poison","od trucizny"
"PF2E.Damage.RollFlavor.precision","precision","precyzyjne"
"PF2E.Damage.RollFlavor.slashing","slashing","cięte"
"PF2E.Damage.RollFlavor.sonic","sonic","soniczne"
"PF2E.Damage.RollFlavor.spirit","spirit","dusza"
"PF2E.Damage.RollFlavor.splash","splash","rozpryskowe"
"PF2E.Damage.RollFlavor.vitality","vitality","witalność"
"PF2E.Damage.RollFlavor.void","void","pustka"
"PF2E.Damage.RollFlavor.untyped","untyped","bez typu"
"PF2E.Damage.Scatter","Scatter Damage","Obrażenia Rozrzutu"
"PF2E.DamageButton.Adjust","[Shift-Click] Adjust value before applying.","[Shift-Kliknij] Dostosuj wartość przed zastosowaniem."
"PF2E.DamageButton.Double","[Click] Apply double damage to selected tokens.","[Kliknij] Zastosuj podwójne obrażenia do wybranych żetonów."
"PF2E.DamageButton.DoubleContext","Double Damage","Podwójne Obrażenia"
"PF2E.DamageButton.DoubleShort","Double","Podwójne"
"PF2E.DamageButton.Full","[Click] Apply full damage to selected tokens.","[Kliknij] Zastosuj pełne obrażenia do wybranych żetonów."
"PF2E.DamageButton.FullContext","Apply Damage","Zastosuj Obrażenia"
"PF2E.DamageButton.FullShort","Damage","Obrażenia"
"PF2E.DamageButton.Half","[Click] Apply half damage to selected tokens.","[Kliknij] Zastosuj połowiczne obrażenia do wybranych żetonów."
"PF2E.DamageButton.HalfContext","Half Damage","Połowa Obrażeń"
"PF2E.DamageButton.HalfShort","Half","Połowa"
"PF2E.DamageButton.Healing","[Click] Apply full healing to selected tokens.","[Kliknij] Zastosuj pełne leczenie do wybranych żetonów."
"PF2E.DamageButton.HealingContext","Apply Healing","Zastosuj Leczenie"
"PF2E.DamageButton.HealingShort","Heal","Leczenie"
"PF2E.DamageButton.ShieldBlock","[Click] Toggle the shield block status of the selected tokens before applying damage.","[Kliknij] Przełącz status blokowania tarczą na wybranych żetonach, przed zastosowaniem obrażeń."
"PF2E.DamageButton.ShieldBlockContext","Shield Block","Blok Tarczą"
"PF2E.DamageButton.ShieldBlockShort","Block","Blok"
"PF2E.DamageButton.Triple","[Click] Apply triple damage to selected tokens.","[Kliknij] Zastosuj potrójne obrażenia do wybranych żetonów."
"PF2E.DamageButton.TripleContext","Apply Triple Damage","Zastosuj Potrójne Obrażenia"
"PF2E.DamageButton.TripleShort","Triple","Potrójne"
"PF2E.DamageCategoriesLabel","Damage Categories","Kategorie Obrażeń"
"PF2E.DamageDieD10","d10","k10"
"PF2E.DamageDieD12","d12","k12"
"PF2E.DamageDieD4","d4","k4"
"PF2E.DamageDieD6","d6","k6"
"PF2E.DamageDieD8","d8","k8"
"PF2E.DamageLabel","Damage","Obrażenia"
"PF2E.DamageRoll","Damage Roll","Rzut Obrażeń"
"PF2E.DecrementEffectTitle","Decrease Effect Level","Zmniejsz Poziom Efektu"
"PF2E.DefensesLabel","Defenses","Defensywa"
"PF2E.Deity","Deity","Bóstwo"
"PF2E.DeleteQuestion","Are you sure you want to delete {name}?","Czy na pewno chcesz usunąć {name}?"
"PF2E.DeleteConditionTitle","Delete Condition","Usuń Status"
"PF2E.DeleteItemTitle","Delete Item","Usuń Przedmiot"
"PF2E.DeleteShortLabel","Delete","Usuń"
"PF2E.DeleteSpellcastEntryQuestion","Are you sure you want to delete this spellcasting entry?","Czy na pewno chcesz usunąć ten wpis o rzucaniu zaklęć?"
"PF2E.DeleteSpellcastEntryTitle","Delete Spellcasting","Usuń Rzucanie Zaklęć"
"PF2E.DeleteSpellcastEntryWarning","WARNING: All spells in this spellcasting entry will also be deleted.","UWAGA: Wszystkie zaklęcia podlegające pod ten wpis o rzucaniu zaklęć również zostaną usunięte."
"PF2E.DenominationLabel","Denomination","Nominał"
"PF2E.DetailsHeading","Details","Szczegóły"
"PF2E.DragDropFeats","Drag & Drop feats to add","Przeciągnij atuty aby je dodać"
"PF2E.Duration.P1M","month","miesiąc"
"PF2E.Duration.P1W","week","tydzień"
"PF2E.Duration.P1Y","year","rok"
"PF2E.Duration.PT10M","10 minutes","10 minut"
"PF2E.Duration.PT1H","hour","godzina"
"PF2E.Duration.PT1M","minute","minuta"
"PF2E.Duration.PT24H","24 hours","24 godziny"
"PF2E.Duration.day","day","dzień"
"PF2E.Duration.round","round","runda"
"PF2E.Duration.turn","turn","tura"
"PF2E.Edit","Edit","Edytuj"
"PF2E.EditHazardLabel","Edit Hazard","Edytuj Zagrożenie"
"PF2E.EditItemTitle","Edit Item","Edytuj Przedmiot"
"PF2E.EditLabel","Edit?","Edytować?"
"PF2E.EffectPanel.AppliedBy","Applied by: {condition-list}","Nakładany przez: {condition-list}"
"PF2E.EffectPanel.DecrementToolTip","[Right Click] Decrease value","[PPM] Zmniejsz wartość"
"PF2E.EffectPanel.Expired","Expired","Przedawnione"
"PF2E.EffectPanel.IncrementToolTip","[Left Click] Increase value","[LPM] Zwiększ wartość"
"PF2E.EffectPanel.RemainingDuration.MultipleDays","{days} days remaining","Pozostało {days} dni"
"PF2E.EffectPanel.RemainingDuration.MultipleHours","{hours} hours remaining","Pozostało {hours} godzin"
"PF2E.EffectPanel.RemainingDuration.MultipleMinutes","{minutes} minutes remaining","Pozostało {minutes} rund"
"PF2E.EffectPanel.RemainingDuration.MultipleRounds","{rounds} rounds remaining","Pozostało {rounds} rund"
"PF2E.EffectPanel.RemainingDuration.MultipleSeconds","{seconds} seconds remaining","Pozostało {seconds} sekund"
"PF2E.EffectPanel.RemainingDuration.MultipleWeeks","{weeks} weeks remaining","Pozostało {weeks} tygodni"
"PF2E.EffectPanel.RemainingDuration.MultipleYears","{years} years remaining","Pozostało {years} lat"
"PF2E.EffectPanel.RemainingDuration.SingleRound","1 round remaining","Pozostała 1 runda"
"PF2E.EffectPanel.RemainingDuration.SingleSecond","1 second remaining","Pozostała 1 sekunda"
"PF2E.EffectPanel.RemainingDuration.SingleWeek","1 week remaining","Pozostał 1 tydzień"
"PF2E.EffectPanel.RemainingDuration.SingleYear","1 year remaining","Pozostał 1 rok"
"PF2E.EffectPanel.RemainingDuration.ZeroRoundsExpireTurnEnd","0 rounds remaining, expires end of initiative {initiative}","Pozostało 0 rund, przedawnia się na końcu inicjatywy {initiative}"
"PF2E.EffectPanel.RemainingDuration.ZeroRoundsExpireTurnStart","0 rounds remaining, expires start of initiative {initiative}","Pozostało 0 rund, przedawnia się na początku inicjatywy {initiative}"
"PF2E.EffectPanel.RemoveToolTip","[Right Click] Remove effect","[PPM] Usuń efekt"
"PF2E.EffectPanel.RollDamageToolTip","[Left Click] Roll damage","[LPM] Rzuć obrażenia"
"PF2E.EffectPanel.Sustained","Sustained?","Podtrzymywanie?"
"PF2E.EffectPanel.Unidentified","Unidentified","Nie zidentyfikowano"
"PF2E.EffectPanel.UnlimitedDuration","Unlimited duration","Nieograniczony czas"
"PF2E.EffectPanel.UntilEncounterEnds","Until encounter ends","Do zakończenia starcia"
"PF2E.EffectsLabel","Effects","Efekty"
"PF2E.EmptySlot","Empty Slot","Puste Miejsce"
"PF2E.Encounter.AlreadyRolled","{actor} has already rolled initiative.","{actor} już rzucił(a) na inicjatywę."
"PF2E.Encounter.Broadcast.FastHealing.DeactivatedBy","Deactivated by {types}","Deaktywowane przez obrażenia {types}"
"PF2E.Encounter.Broadcast.FastHealing.fast-healing.Name","Fast Healing","Szybkie Leczenie"
"PF2E.Encounter.Broadcast.FastHealing.fast-healing.ReceivedMessage","Received fast healing","Otrzymuje szybkie leczenie"
"PF2E.Encounter.Broadcast.FastHealing.regeneration.Name","Regeneration","Regeneracja"
"PF2E.Encounter.Broadcast.FastHealing.regeneration.ReceivedMessage","Received regeneration","Otrzymuje regenerację"
"PF2E.Encounter.Broadcast.TempHP.PluralNew","{actor} now has {newQuantity} temporary hit points{wasAt} from {item}.","{actor} ma teraz {newQuantity} tymczasowych punktów żywotności{wasAt} z przedmiotu {item}."
"PF2E.Encounter.Broadcast.TempHP.SingleNew","{actor} now has {newQuantity} temporary hit point{wasAt} from {item}.","{actor} ma teraz {newQuantity} tymczasowy punkt żywotności{wasAt} z przedmiotu {item}."
"PF2E.Encounter.Broadcast.TempHP.WasAt"," (was at {oldQuantity})"," (poprzednio {oldQuantity})"
"PF2E.Encounter.Budget.EncounterBudget","Encounter Budget","Budżet Starcia"
"PF2E.Encounter.Budget.PartyLevel","Party Level","Poziom Drużyny"
"PF2E.Encounter.Budget.PartySize","Party Size","Rozmiar Drużyny"
"PF2E.Encounter.Budget.Reward","Reward","Nagroda"
"PF2E.Encounter.Budget.Threat","Threat","Zagrożenie"
